epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.2709,0.53712,0.82792,1,0.39294,0.000546086,0.000546086,0.000546086
2,31.3812,0.31979,0.80844,1,0.42251,0.00108812,0.00108812,0.00108812
3,45.5957,0.28442,0.86039,1,0.34314,0.0016164,0.0016164,0.0016164
4,59.7909,0.26765,0.90909,1,0.23198,0.00160511,0.00160511,0.00160511
5,74.0902,0.23345,0.7987,1,0.61594,0.00158448,0.00158448,0.00158448
6,88.7452,0.1982,0.84091,1,0.35676,0.00156385,0.00156385,0.00156385
7,103.136,0.22085,0.68831,1,0.79402,0.00154323,0.00154323,0.00154323
8,117.343,0.21081,0.88312,1,0.27986,0.0015226,0.0015226,0.0015226
9,131.649,0.1817,0.83117,1,0.41837,0.00150197,0.00150197,0.00150197
10,145.898,0.1703,0.85065,1,0.41162,0.00148134,0.00148134,0.00148134
11,159.922,0.16908,0.91234,1,0.27926,0.00146071,0.00146071,0.00146071
12,174.286,0.14233,0.92532,1,0.22177,0.00144008,0.00144008,0.00144008
13,189.018,0.11801,0.92208,1,0.21991,0.00141945,0.00141945,0.00141945
14,203.553,0.10155,0.89286,1,0.25475,0.00139882,0.00139882,0.00139882
15,217.822,0.12943,0.86039,1,0.42231,0.00137819,0.00137819,0.00137819
16,232.043,0.14868,0.86688,1,0.34652,0.00135756,0.00135756,0.00135756
17,246.091,0.12159,0.8539,1,0.4144,0.00133693,0.00133693,0.00133693
18,259.826,0.10466,0.88961,1,0.30242,0.0013163,0.0013163,0.0013163
19,273.222,0.10234,0.90909,1,0.25746,0.00129568,0.00129568,0.00129568
20,287.236,0.10491,0.93182,1,0.18965,0.00127505,0.00127505,0.00127505
21,301.43,0.07319,0.91234,1,0.27725,0.00125442,0.00125442,0.00125442
22,315.464,0.08566,0.91234,1,0.20069,0.00123379,0.00123379,0.00123379
23,330.167,0.06158,0.91234,1,0.17841,0.00121316,0.00121316,0.00121316
