epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1225.1,1.44058,1.53928,1.19883,0.98164,0.97238,0.99222,0.64731,1.20774,0.77746,1.08347,0.000662602,0.000662602,0.000662602
2,1296.79,1.28145,0.86445,1.12527,0.98098,0.97338,0.9918,0.6387,1.22473,0.69604,1.0933,0.00126347,0.00126347,0.00126347
3,1369.27,1.26769,0.73096,1.1233,0.98471,0.9539,0.98482,0.65418,1.17182,0.61501,1.08289,0.00179834,0.00179834,0.00179834
4,1438.6,1.23149,0.64672,1.10464,0.9855,0.97068,0.993,0.66975,1.15277,0.51582,1.07555,0.001703,0.001703,0.001703
5,1509.82,1.21844,0.61134,1.10335,0.97988,0.98061,0.99279,0.61793,1.28816,0.55564,1.12553,0.001604,0.001604,0.001604
6,1580.54,1.20819,0.59551,1.0991,0.99631,0.98312,0.99435,0.65071,1.23717,0.50377,1.09378,0.001505,0.001505,0.001505
7,1650.01,1.20038,0.56718,1.10123,0.99723,0.98896,0.9949,0.70346,1.0632,0.45037,1.03089,0.001406,0.001406,0.001406
8,1720.4,1.16584,0.54757,1.08204,0.99725,0.98701,0.99481,0.68633,1.10805,0.45944,1.06182,0.001307,0.001307,0.001307
9,1794.98,1.14706,0.52995,1.07066,0.99348,0.98873,0.99477,0.69495,1.08333,0.44056,1.04715,0.001208,0.001208,0.001208
10,1874.59,1.13065,0.51494,1.06854,0.9935,0.99223,0.99485,0.68656,1.1135,0.42472,1.05095,0.001109,0.001109,0.001109
11,1959.35,1.09978,0.45553,1.07118,0.99481,0.98571,0.99474,0.6937,1.06936,0.42968,1.04628,0.00101,0.00101,0.00101
12,2044.88,1.08847,0.43902,1.06422,0.99316,0.99221,0.99486,0.69435,1.08385,0.42597,1.04625,0.000911,0.000911,0.000911
13,2123.93,1.07434,0.42941,1.06027,0.99323,0.99091,0.99476,0.70625,1.05462,0.4131,1.03716,0.000812,0.000812,0.000812
14,2203.46,1.06351,0.4159,1.0577,0.99786,0.99156,0.99476,0.7069,1.05889,0.40249,1.04249,0.000713,0.000713,0.000713
15,2285.01,1.0379,0.40751,1.04137,0.99609,0.99245,0.99493,0.71438,1.03808,0.38825,1.02966,0.000614,0.000614,0.000614
16,2362.27,1.03324,0.39845,1.04588,0.99791,0.98831,0.99477,0.70392,1.06243,0.39065,1.03933,0.000515,0.000515,0.000515
17,2437.04,1.02165,0.38706,1.0293,0.99804,0.99186,0.99489,0.71462,1.02833,0.3713,1.01858,0.000416,0.000416,0.000416
18,2510.33,1.00456,0.3732,1.02419,0.99804,0.99446,0.99495,0.7112,1.04405,0.36478,1.02248,0.000317,0.000317,0.000317
19,2582.4,0.99004,0.36477,1.01477,0.99762,0.99416,0.99495,0.71176,1.03209,0.35954,1.01987,0.000218,0.000218,0.000218
20,2653.73,0.9787,0.354,1.01019,0.99786,0.99481,0.99495,0.71073,1.03637,0.35459,1.02308,0.000119,0.000119,0.000119
